sesi,tanggal,baris,durasi_s,jarak_m,n_bat,bat_awal_v,bat_akhir_v,bat_min_v,bat_maks_v,bat_rata_v,i_rata_a,i_maks_a,i_rata_gerak_a,i_rata_diam_a,detik_gerak,detik_diam,p_rata_w,energi_wh,energi_gerak_wh,energi_diam_wh,detik_otonom,sumber_arus
20260918_132850,20260918,14750,295,20.9,14744,50.10,50.10,49.50,50.30,50.03,6.51,18.50,8.12,5.45,117,178,325.5,26.669,13.206,13.463,186,eff(/joint_states)
20260918_153450,20260918,16950,339,2.1,16945,50.10,50.10,49.30,50.30,50.04,6.00,29.40,19.69,5.83,4,335,299.7,28.216,1.125,27.091,0,trq(/motor_torque)
20260916_120455,20260916,15082,302,41.6,15073,48.40,48.40,47.40,48.60,48.23,5.90,16.40,7.65,5.65,38,264,284.0,23.795,3.857,19.937,0,trq(/motor_torque)
20260914_143008,20260914,13066,261,18.1,13064,49.30,49.30,48.70,49.70,49.26,5.58,16.60,7.11,5.39,28,233,274.6,19.932,2.761,17.171,0,trq(/motor_torque)
20260916_182528,20260916,12300,246,18.3,12273,47.60,47.40,47.00,47.80,47.36,6.56,16.30,7.87,5.43,114,131,310.0,21.181,11.817,9.364,202,eff(/joint_states)
20260916_192058,20260916,14380,288,14.1,14379,46.20,46.20,45.30,46.30,46.18,6.58,29.80,11.23,4.99,73,215,303.4,24.239,10.509,13.730,143,eff(/joint_states)
20260826_170718,20260826,15284,306,3.8,15283,50.10,50.10,49.10,50.60,50.06,2.86,21.00,6.11,2.57,26,280,143.3,12.167,2.168,9.998,0,eff(/joint_states)
20260914_141019,20260914,13882,278,7.1,13878,49.40,49.30,47.70,49.80,49.30,3.45,17.90,6.78,3.15,23,255,169.8,13.095,2.090,11.005,0,trq(/motor_torque)
20260918_151126,20260918,10815,216,15.0,10809,50.10,50.10,49.20,50.30,50.03,6.36,19.10,8.11,4.99,95,121,317.7,19.088,10.670,8.418,133,eff(/joint_states)
20260831_105743,20260831,11165,223,12.4,11164,49.30,49.30,47.70,49.80,49.18,10.07,30.60,18.22,6.85,63,160,494.1,30.645,15.681,14.964,40,eff(/joint_states)
20260826_112600,20260826,12650,253,8.1,12649,50.10,50.10,49.20,50.30,50.04,7.02,32.40,18.64,4.21,49,204,350.4,24.621,12.736,11.885,0,eff(/joint_states)
20260918_151638,20260918,13500,270,0.0,13496,50.10,50.10,50.10,50.20,50.10,6.00,6.00,,6.00,0,270,300.5,22.538,0.000,22.538,32,eff(/joint_states)
20260914_135551,20260914,10500,210,17.3,10496,49.30,49.30,48.40,49.60,49.16,12.13,25.80,12.22,12.11,31,179,595.6,34.741,5.118,29.623,0,trq(/motor_torque)
20260916_151634,20260916,9184,184,17.4,9182,48.10,48.10,47.70,48.20,48.00,6.76,15.10,6.98,6.68,50,134,324.2,16.539,4.616,11.923,0,trq(/motor_torque)
20260918_110049,20260918,10432,209,7.3,10425,50.10,50.10,49.90,50.30,50.09,3.16,9.70,6.68,2.87,16,193,158.3,9.171,1.465,7.706,0,trq(/motor_torque)
20260916_181000,20260916,9065,181,3.1,9064,47.70,47.70,47.10,47.80,47.69,4.85,11.50,6.88,4.61,19,162,231.5,11.655,1.772,9.883,17,eff(/joint_states)
20260821_154532,20260821,11936,239,2.2,11929,50.10,50.10,49.40,50.10,50.08,2.16,32.10,18.64,1.01,15,223,107.6,7.133,3.996,3.136,0,eff(/joint_states)
20260914_143440,20260914,7400,148,8.0,7396,49.30,49.30,48.90,49.50,49.27,6.34,10.70,6.47,6.31,30,118,312.3,12.837,2.636,10.200,0,trq(/motor_torque)
20260918_141459,20260918,10636,213,0.1,10631,50.10,50.10,49.80,50.10,50.10,2.26,13.50,6.29,2.24,1,211,113.3,6.693,0.122,6.570,0,eff(/joint_states)
20260915_182646,20260915,7466,149,3.5,7465,48.80,48.80,48.40,48.90,48.78,3.49,11.90,6.67,2.95,22,128,169.9,7.048,1.943,5.105,0,trq(/motor_torque)
20260821_153147,20260821,9368,187,1.4,9363,50.00,50.10,49.20,50.40,50.07,4.52,31.60,21.70,2.33,21,166,225.6,11.740,6.361,5.379,0,eff(/joint_states)
20260918_150814,20260918,9370,187,0.0,9352,50.10,50.10,50.10,50.20,50.10,2.30,2.30,,2.30,0,187,115.0,5.987,0.000,5.987,0,eff(/joint_states)
20260826_113021,20260826,7384,148,12.6,7366,50.10,50.10,49.00,50.70,50.00,9.71,29.50,15.26,6.58,53,94,483.6,19.834,11.239,8.595,0,eff(/joint_states)
20260914_132208,20260914,6500,130,10.8,6493,49.40,49.40,48.00,49.80,49.27,5.58,15.80,5.66,5.58,1,129,274.6,9.913,0.054,9.859,0,trq(/motor_torque)
20260826_151048,20260826,6815,136,5.6,6811,50.10,50.10,48.90,50.30,49.92,14.26,29.80,23.67,10.39,40,97,710.0,26.881,12.991,13.890,21,eff(/joint_states)
20260916_120058,20260916,6300,126,11.6,6296,48.40,48.40,47.70,48.60,48.32,6.09,11.70,6.98,5.96,17,109,294.2,10.295,1.562,8.733,0,trq(/motor_torque)
20260915_181556,20260915,5850,117,7.0,5842,48.80,48.80,48.30,49.10,48.75,6.18,14.70,8.63,5.72,18,98,300.7,9.770,2.143,7.627,0,trq(/motor_torque)
20260914_133318,20260914,5815,116,10.0,5810,49.30,49.30,49.00,49.50,49.26,6.88,13.30,7.36,6.83,9,107,338.5,10.931,0.930,10.002,0,trq(/motor_torque)
20260916_174707,20260916,6000,120,8.4,5994,47.90,47.90,47.20,48.00,47.79,5.61,18.00,8.00,3.13,61,59,267.6,8.919,6.474,2.445,108,eff(/joint_states)
20260831_112123,20260831,5730,115,2.7,5726,49.30,49.20,47.80,49.30,49.12,11.07,33.20,18.45,9.38,21,93,542.5,17.263,5.328,11.935,29,eff(/joint_states)
20260824_153821,20260824,9899,198,0.0,9895,49.60,49.60,49.60,49.60,49.60,0.00,0.00,,0.00,0,198,,0.000,0.000,0.000,0,eff(/joint_states)
20260821_161007,20260821,7069,141,0.4,7066,50.10,50.10,49.90,50.10,50.10,0.24,6.50,3.92,0.16,3,138,12.3,0.481,0.165,0.316,0,eff(/joint_states)
20260821_151147,20260821,5800,116,9.0,5793,50.10,50.10,49.30,50.30,49.99,12.22,32.40,13.47,11.13,54,62,609.7,19.639,10.120,9.519,0,eff(/joint_states)
20260914_142824,20260914,4682,94,9.2,4679,49.30,49.40,48.00,49.60,49.24,5.50,16.50,6.91,5.50,0,93,270.6,7.037,0.025,7.012,0,trq(/motor_torque)
20260821_150936,20260821,6218,124,6.3,6207,50.10,50.10,49.10,50.60,50.05,5.34,30.80,12.66,3.51,25,99,266.0,9.188,4.355,4.832,0,eff(/joint_states)
20260821_153745,20260821,4865,97,7.0,4858,50.10,50.10,49.30,50.50,49.99,9.93,31.80,14.28,7.48,35,62,495.0,13.375,6.947,6.428,31,eff(/joint_states)
20260916_120314,20260916,4566,91,8.4,4560,48.40,48.40,47.00,48.60,48.33,5.73,14.60,6.78,5.25,29,63,276.7,7.016,2.601,4.415,0,trq(/motor_torque)
20260915_174727,20260915,4632,93,4.7,4629,48.90,48.90,48.40,49.00,48.82,6.13,14.00,7.06,6.02,10,83,298.9,7.689,0.924,6.766,0,trq(/motor_torque)
20260821_161326,20260821,3784,76,3.4,3777,50.10,50.10,49.40,50.20,50.00,12.00,31.00,19.45,11.19,7,68,598.2,12.573,2.019,10.554,0,trq(/motor_torque)
20260821_164405,20260821,5586,112,1.9,5579,50.20,50.10,48.90,50.20,50.07,2.29,27.30,17.57,1.46,6,106,114.0,3.536,1.397,2.139,0,eff(/joint_states)
20260828_134254,20260828,4972,99,0.0,4938,49.50,49.40,49.40,49.50,49.45,0.00,0.00,,0.00,0,99,,0.000,0.000,0.000,0,eff(/joint_states)
20260918_140446,20260918,4270,85,0.0,4266,50.10,50.10,50.10,50.10,50.10,1.61,1.70,,1.61,0,85,80.4,1.906,0.000,1.906,0,trq(/motor_torque)
20260914_130443,20260914,4592,92,0.0,4576,49.40,49.40,49.30,49.40,49.37,6.00,6.00,,6.00,0,92,295.2,7.528,0.000,7.528,0,eff(/joint_states)
